machine_id,machine_type,plant,line,age_years,criticality,timestamp,shift,machine_status,load_pct,temperature_c,vibration_mm_s,humidity_pct,pressure_bar,energy_kwh,failure_mode,anomaly_flag,downtime_risk,maintenance_required,predicted_rul_hours,health_score
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 01:09:00,C,Idle,16.7,58.18,13.85,45.31,2.36,1.78,None,0,0,0,637.9,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 01:14:00,C,Running,77.7,60.2,21.11,42.84,2.33,2.85,None,0,0,0,620.3,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 01:19:00,C,Idle,18.3,50.95,20.51,35.1,2.65,1.98,None,0,0,0,632.1,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 01:24:00,C,Running,64.4,61.54,19.21,28.39,2.46,2.27,None,0,0,0,598.1,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 01:29:00,C,Running,72.6,66.03,24.88,46.95,2.44,3.64,None,0,0,0,608.0,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 01:34:00,C,Running,82.6,67.89,29.02,63.98,2.94,3.15,Humidity Exposure,0,0,0,603.1,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 01:39:00,C,Running,65.3,52.71,34.43,32.73,2.75,2.68,Bearing Wear,0,0,0,617.7,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 01:44:00,C,Idle,21.5,63.14,17.82,49.58,2.64,2.18,None,0,0,0,619.4,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 01:49:00,C,Running,79.2,51.9,34.6,40.17,1.16,3.66,Pressure Leak,0,0,0,483.4,81.3
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 01:54:00,C,Idle,43.4,57.82,22.55,37.28,2.63,2.64,None,0,0,0,622.6,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 01:59:00,C,Running,75.5,66.95,20.92,50.34,2.71,2.89,None,0,0,0,644.2,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 02:04:00,C,Running,68.5,55.04,21.18,49.22,2.67,2.89,None,0,0,0,618.6,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 02:09:00,C,Running,92.6,61.27,22.14,55.13,2.59,3.2,None,0,0,0,607.0,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 02:14:00,C,Idle,22.2,51.57,20.48,39.03,2.45,2.6,None,0,0,0,631.2,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 02:19:00,C,Idle,18.3,56.74,16.45,39.43,2.63,2.39,None,0,0,0,650.2,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 02:24:00,C,Running,52.7,57.68,23.6,53.76,1.44,2.43,Pressure Leak,0,0,0,585.9,85.1
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 02:29:00,C,Idle,19.8,60.72,21.68,48.42,2.36,2.85,None,0,0,0,625.9,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 02:34:00,C,Running,67.3,60.85,19.17,51.04,2.53,3.19,None,0,0,0,627.7,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 02:39:00,C,Running,48.3,57.88,21.09,30.78,2.9,2.59,None,0,0,0,677.9,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 02:44:00,C,Running,71.3,60.57,30.89,36.23,2.81,2.46,None,0,0,0,597.9,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 02:49:00,C,Idle,5.0,51.35,18.72,46.75,2.44,2.5,None,0,0,0,624.0,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 02:54:00,C,Running,66.5,52.63,20.37,43.2,2.84,2.89,None,0,0,0,660.8,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 02:59:00,C,Running,72.2,53.29,30.88,44.41,2.56,3.07,None,0,0,0,611.5,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 03:04:00,C,Running,88.4,63.22,22.13,49.47,2.27,3.29,None,0,0,0,592.6,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 03:09:00,C,Running,61.6,58.88,17.77,31.05,2.3,3.14,None,0,0,0,565.7,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 03:14:00,C,Running,68.8,63.43,28.41,43.52,2.62,2.5,None,0,0,0,603.3,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 03:19:00,C,Running,59.7,69.72,11.39,29.0,2.31,2.52,None,0,0,0,620.9,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 03:24:00,C,Running,67.7,60.88,13.7,48.06,2.63,2.34,None,0,0,0,627.6,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 03:29:00,C,Running,87.7,57.98,24.22,48.65,3.24,3.59,None,0,0,0,609.3,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 03:34:00,C,Running,79.1,65.92,18.93,29.67,2.35,3.25,None,0,0,0,632.7,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 03:39:00,C,Running,62.4,62.59,25.85,39.58,3.13,2.36,None,0,0,0,627.1,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 03:44:00,C,Idle,29.7,58.07,32.41,24.44,2.87,2.79,None,0,0,0,641.4,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 03:49:00,C,Running,93.5,58.12,25.64,42.61,3.06,3.65,None,0,0,0,644.8,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 03:54:00,C,Idle,32.8,52.8,19.32,45.52,2.41,3.08,None,0,0,0,624.1,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 03:59:00,C,Running,99.4,60.75,44.39,43.3,2.71,3.81,Bearing Wear,0,0,0,637.9,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 04:04:00,C,Idle,13.6,51.43,18.13,47.5,2.02,2.01,None,0,0,0,604.6,92.6
MCH-0001,RobotArm,Pune,Line A,6.2,Medium,2026-06-04 04:09:00,C,Running,73.2,70.38,17.34,33.28,3.1,5.19,Electrical Overload,0,0,0,589.1,91.3
