po_id,supplier_id,component,po_date,promised_date,actual_date,quantity,unit_cost,po_value
PO000001,S0097,Infotainment Unit,2025-04-03,2025-05-02,2025-05-06,7090,221.78,1572420.2
PO000002,S0064,Steel,2025-05-13,2025-07-23,2025-07-23,2325,405.5,942787.5
PO000003,S0018,Battery Cell,2025-05-24,2025-07-16,2025-07-16,1663,343.54,571307.02
PO000004,S0046,Wiring Harness,2025-10-12,2025-10-24,2025-10-27,1365,204.58,279251.7
PO000005,S0008,Infotainment Unit,2025-12-22,2026-01-16,2026-01-19,6502,534.48,3475188.96
PO000006,S0088,Motor Controller,2025-04-02,2025-05-26,2025-05-29,3394,25.0,84850.0
PO000007,S0079,Brake Assembly,2025-12-17,2026-02-04,2026-02-10,3154,392.4,1237629.6
PO000008,S0091,Battery Cell,2025-01-04,2025-01-17,2025-01-24,7654,570.82,4369056.28
PO000009,S0069,Tire,2025-02-03,2025-02-10,2025-02-17,6998,353.46,2473513.08
PO000010,S0036,Steel,2025-10-16,2025-11-18,2025-11-18,6791,341.47,2318922.77
PO000011,S0065,Sensor,2025-07-11,2025-08-29,2025-09-03,2863,383.18,1097044.34
PO000012,S0023,Aluminum,2025-08-30,2025-11-10,2025-11-10,4722,99.48,469744.56
PO000013,S0085,Wiring Harness,2025-10-20,2026-01-06,2026-01-13,1103,187.65,206977.95
PO000014,S0005,Semiconductor,2025-12-03,2026-01-21,2026-02-01,6221,354.32,2204224.72
PO000015,S0035,Steel,2025-01-13,2025-03-21,2025-03-27,578,432.64,250065.92
PO000016,S0074,Steel,2025-01-22,2025-03-13,2025-03-13,7622,594.54,4531583.88
PO000017,S0095,Wiring Harness,2025-10-04,2025-11-14,2025-11-27,6466,213.27,1379003.82
PO000018,S0067,Sensor,2025-02-06,2025-04-23,2025-05-03,2559,514.48,1316554.32
PO000019,S0036,Steel,2025-02-16,2025-03-21,2025-03-26,5066,138.37,700982.42
PO000020,S0066,Wiring Harness,2025-10-09,2025-10-31,2025-11-06,2927,594.55,1740247.85
PO000021,S0080,Infotainment Unit,2025-04-10,2025-04-23,2025-04-29,1909,187.1,357173.9
PO000022,S0012,Steel,2025-01-31,2025-02-10,2025-02-22,7815,311.56,2434841.4
PO000023,S0008,Infotainment Unit,2025-08-13,2025-09-07,2025-09-13,1158,143.32,165964.56
PO000024,S0082,Aluminum,2025-04-28,2025-07-06,2025-07-13,4673,381.09,1780833.57
PO000025,S0022,Battery Cell,2025-05-27,2025-06-08,2025-06-14,8340,362.9,3026586.0
PO000026,S0070,Infotainment Unit,2025-06-24,2025-07-30,2025-07-30,4021,96.54,388187.34
PO000027,S0066,Wiring Harness,2025-07-24,2025-08-15,2025-08-18,3624,207.44,751762.56
PO000028,S0003,Aluminum,2025-01-22,2025-04-06,2025-04-11,3918,475.3,1862225.4
PO000029,S0058,Motor Controller,2025-03-27,2025-04-27,2025-05-10,688,6.69,4602.72
PO000030,S0018,Battery Cell,2025-03-14,2025-05-06,2025-05-13,314,311.58,97836.12
PO000031,S0041,Semiconductor,2025-04-22,2025-05-28,2025-06-02,1644,519.63,854271.72
PO000032,S0013,Brake Assembly,2025-10-13,2025-12-30,2025-12-30,2468,397.24,980388.32
PO000033,S0093,Aluminum,2025-06-24,2025-08-13,2025-08-17,7055,544.84,3843846.2
PO000034,S0048,Aluminum,2025-03-25,2025-06-06,2025-06-09,7908,15.02,118778.16
PO000035,S0038,Brake Assembly,2025-11-19,2025-12-13,2025-12-13,170,162.42,27611.4
PO000036,S0081,Wiring Harness,2025-06-29,2025-09-14,2025-09-16,1739,335.72,583817.08
PO000037,S0055,Battery Cell,2025-12-19,2025-12-27,2025-12-31,3466,249.32,864143.12
PO000038,S0075,Aluminum,2025-07-22,2025-09-29,2025-10-06,4035,20.12,81184.2
PO000039,S0052,Tire,2025-03-24,2025-05-19,2025-05-24,3108,86.76,269650.08
PO000040,S0084,Motor Controller,2025-11-29,2025-12-21,2025-12-21,4482,91.1,408310.2
PO000041,S0057,Motor Controller,2025-03-27,2025-04-04,2025-04-04,7951,7.64,60745.64
PO000042,S0097,Infotainment Unit,2025-08-08,2025-09-06,2025-09-12,1943,96.67,187829.81
PO000043,S0004,Steel,2025-01-15,2025-01-24,2025-01-29,4169,129.26,538884.94
PO000044,S0087,Brake Assembly,2025-09-16,2025-11-23,2025-11-29,1482,419.76,622084.32
PO000045,S0027,Wiring Harness,2025-01-13,2025-01-23,2025-02-01,217,517.73,112347.41
PO000046,S0050,Motor Controller,2025-03-20,2025-05-19,2025-05-23,6499,51.7,335998.3
PO000047,S0052,Tire,2025-05-16,2025-07-11,2025-07-16,1671,439.18,733869.78
PO000048,S0093,Aluminum,2025-06-03,2025-07-23,2025-07-25,5120,307.91,1576499.2
PO000049,S0034,Semiconductor,2025-11-16,2025-12-28,2026-01-09,7043,550.45,3876819.35
PO000050,S0007,Infotainment Unit,2025-08-03,2025-08-10,2025-08-10,3133,88.8,278210.4
PO000051,S0016,Wiring Harness,2025-10-27,2025-12-04,2025-12-12,1474,231.55,341304.7
PO000052,S0085,Wiring Harness,2025-09-05,2025-11-22,2025-12-01,2519,365.33,920266.27
PO000053,S0005,Semiconductor,2025-09-15,2025-11-03,2025-11-03,367,542.08,198943.36
PO000054,S0008,Infotainment Unit,2025-01-09,2025-02-03,2025-02-03,2031,263.27,534701.37
PO000055,S0022,Battery Cell,2025-04-22,2025-05-04,2025-05-09,7986,269.08,2148872.88
PO000056,S0079,Brake Assembly,2025-09-25,2025-11-13,2025-11-23,8542,259.38,2215623.96
PO000057,S0043,Infotainment Unit,2025-08-22,2025-10-26,2025-10-26,4109,343.49,1411400.41
PO000058,S0064,Steel,2025-12-30,2026-03-11,2026-03-17,2000,567.66,1135320.0
PO000059,S0084,Motor Controller,2025-08-02,2025-08-24,2025-08-24,1058,148.03,156615.74
PO000060,S0075,Aluminum,2025-07-21,2025-09-28,2025-09-28,1596,101.97,162744.12
PO000061,S0039,Wiring Harness,2025-08-21,2025-09-29,2025-10-03,6967,313.98,2187498.66
PO000062,S0098,Brake Assembly,2025-07-02,2025-08-04,2025-08-11,7527,190.94,1437205.38
PO000063,S0016,Wiring Harness,2025-12-14,2026-01-21,2026-01-24,4591,248.17,1139348.47
PO000064,S0090,Tire,2025-11-16,2026-02-08,2026-02-10,7215,595.67,4297759.05
PO000065,S0095,Wiring Harness,2025-04-22,2025-06-02,2025-06-15,5587,371.55,2075849.85
PO000066,S0056,Tire,2025-10-20,2025-12-08,2025-12-14,3349,206.2,690563.8
PO000067,S0004,Steel,2025-02-27,2025-03-08,2025-03-08,3683,191.47,705184.01
PO000068,S0082,Aluminum,2025-10-31,2026-01-08,2026-01-11,5147,421.54,2169666.38
PO000069,S0067,Sensor,2025-03-17,2025-06-01,2025-06-04,886,548.1,485616.6
PO000070,S0070,Infotainment Unit,2025-02-21,2025-03-29,2025-03-29,4892,365.26,1786851.92
PO000071,S0047,Sensor,2025-09-28,2025-11-09,2025-11-15,4884,159.56,779291.04
PO000072,S0045,Wiring Harness,2025-04-09,2025-06-20,2025-06-25,994,441.78,439129.32
PO000073,S0051,Tire,2025-06-05,2025-07-16,2025-07-20,5149,358.94,1848182.06
PO000074,S0057,Motor Controller,2025-08-31,2025-09-08,2025-09-08,7698,267.53,2059445.94
PO000075,S0018,Battery Cell,2025-01-24,2025-03-18,2025-03-18,4956,513.33,2544063.48
PO000076,S0010,Tire,2025-08-27,2025-10-15,2025-10-15,7352,333.99,2455494.48
PO000077,S0027,Wiring Harness,2025-04-16,2025-04-26,2025-04-30,7083,321.16,2274776.28
PO000078,S0053,Wiring Harness,2025-09-27,2025-12-17,2025-12-21,831,72.81,60505.11
PO000079,S0022,Battery Cell,2025-02-04,2025-02-16,2025-02-21,5073,353.46,1793102.58
PO000080,S0021,Wiring Harness,2025-02-14,2025-03-02,2025-03-13,4143,396.02,1640710.86
PO000081,S0083,Brake Assembly,2025-04-12,2025-06-18,2025-06-19,5998,165.68,993748.64
PO000082,S0087,Brake Assembly,2025-03-09,2025-05-16,2025-05-19,5464,417.62,2281875.68
PO000083,S0044,Motor Controller,2025-11-25,2026-01-11,2026-01-11,8027,214.76,1723878.52
PO000084,S0063,Motor Controller,2025-02-14,2025-04-27,2025-04-30,5951,207.23,1233225.73
PO000085,S0038,Brake Assembly,2025-07-10,2025-08-03,2025-08-05,7069,353.34,2497760.46
PO000086,S0025,Semiconductor,2025-01-14,2025-03-12,2025-03-12,8319,475.75,3957764.25
PO000087,S0059,Battery Cell,2025-09-20,2025-11-08,2025-11-15,3168,419.56,1329166.08
PO000088,S0088,Motor Controller,2025-05-27,2025-07-20,2025-07-20,8034,368.52,2960689.68
PO000089,S0077,Infotainment Unit,2025-07-31,2025-09-18,2025-09-23,2974,549.63,1634599.62
PO000090,S0037,Infotainment Unit,2025-10-27,2025-12-11,2025-12-13,8575,207.39,1778369.25
